room,date,area,event_min,max_min,year,month,day
A,4/17/09 0:00,988,0,1080,2009,April,17
A,4/18/09 0:00,988,0,1080,2009,April,18
A,4/19/09 0:00,988,120,1080,2009,April,19
A,4/20/09 0:00,988,0,1080,2009,April,20
A,4/21/09 0:00,988,0,1080,2009,April,21
A,4/22/09 0:00,988,0,1080,2009,April,22
A,4/23/09 0:00,988,0,1080,2009,April,23
A,4/24/09 0:00,988,1019,1080,2009,April,24
A,4/25/09 0:00,988,1438,1080,2009,April,25
A,4/26/09 0:00,988,1438,1080,2009,April,26
A,4/27/09 0:00,988,1438,1080,2009,April,27
A,4/28/09 0:00,988,1438,1080,2009,April,28
A,4/29/09 0:00,988,1438,1080,2009,April,29
A,4/30/09 0:00,988,1438,1080,2009,April,30
A,5/1/09 0:00,988,719,1080,2009,May,1
A,5/2/09 0:00,988,0,1080,2009,May,2
A,5/3/09 0:00,988,959,1080,2009,May,3
A,5/4/09 0:00,988,150,1080,2009,May,4
A,5/5/09 0:00,988,0,1080,2009,May,5
A,5/6/09 0:00,988,0,1080,2009,May,6
A,5/7/09 0:00,988,120,1080,2009,May,7
A,5/8/09 0:00,988,540,1080,2009,May,8
A,5/9/09 0:00,988,0,1080,2009,May,9
A,5/10/09 0:00,988,0,1080,2009,May,10
A,5/11/09 0:00,988,180,1080,2009,May,11
A,5/12/09 0:00,988,0,1080,2009,May,12
A,5/13/09 0:00,988,0,1080,2009,May,13
A,5/14/09 0:00,988,225,1080,2009,May,14
A,5/15/09 0:00,988,390,1080,2009,May,15
A,5/16/09 0:00,988,0,1080,2009,May,16
A,5/17/09 0:00,988,0,1080,2009,May,17
A,5/18/09 0:00,988,0,1080,2009,May,18
A,5/19/09 0:00,988,120,1080,2009,May,19
A,5/20/09 0:00,988,630,1080,2009,May,20
A,5/21/09 0:00,988,0,1080,2009,May,21
A,5/22/09 0:00,988,0,1080,2009,May,22
A,5/23/09 0:00,988,0,1080,2009,May,23
A,5/24/09 0:00,988,0,1080,2009,May,24
A,5/25/09 0:00,988,0,1080,2009,May,25
A,5/26/09 0:00,988,0,1080,2009,May,26
A,5/27/09 0:00,988,0,1080,2009,May,27
A,5/28/09 0:00,988,0,1080,2009,May,28
A,5/29/09 0:00,988,0,1080,2009,May,29
A,5/30/09 0:00,988,0,1080,2009,May,30
A,5/31/09 0:00,988,0,1080,2009,May,31
A,6/1/09 0:00,988,1200,1080,2009,June,1
A,6/2/09 0:00,988,600,1080,2009,June,2
A,6/3/09 0:00,988,585,1080,2009,June,3
A,6/4/09 0:00,988,1095,1080,2009,June,4
A,6/5/09 0:00,988,660,1080,2009,June,5
A,6/6/09 0:00,988,0,1080,2009,June,6
A,6/7/09 0:00,988,0,1080,2009,June,7
A,6/8/09 0:00,988,60,1080,2009,June,8
